nombre,pais,ciudad_zona,direccion,telefono,email,web,tipo,cp,estado_origen,notas
Honest Greens L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",935481745,hello@honestgreens.com,https://honestgreens.com,Restaurante Saludable,,investigated,"Cuenta con terraza; es un local amplio de gran capacidad y alta rotación. El sentimiento es muy positivo por la calidad y rapidez, aunque critican las largas colas recurrentes. Punto fuerte tech: soluciones de optimización de flujos y gestión de esperas; punto débil: ya poseen un ecosistema digital propio muy avanzado y consolidado."
La Brasa de Oro,España,,"Carrer de Varsòvia, 57, 08041 Barcelona",934331205,,,Brasería,,investigated,"Tiene terraza exterior; local de barrio pequeño-mediano (aprox. 35 pax). Reseñas positivas destacando calidad-precio y sus brasas, aunque el ambiente es tradicional. Oportunidad en digitalización de comandas para agilizar menús diarios, pero con posible resistencia al cambio por perfil conservador."
Pans & Company L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",934105051,info@pansandcompany.com,https://www.pansandcompany.com,Restaurante,,investigated,"No tiene terraza (ubicado dentro del centro comercial). Capacidad media para unos 50 comensales con sentimiento general mixto por demoras en horas punta. Oportunidad en herramientas de agilidad operativa, aunque su punto débil es la dependencia de sistemas tecnológicos centralizados por su matriz (franquicia)."
Frankfurt Rosselló,España,,"Carrer d'Escòcia, 18, 08016 Barcelona",933492200,info@frossello.com,http://www.frossello.com,Bar,,investigated,"Tiene terraza exterior. Capacidad media para unos 30-40 comensales con alta rotación. Sentimiento general positivo, valorado por la calidad de sus bocadillos y rapidez del servicio. Fuerte: necesidad de agilizar comandas por volumen de clientes; Débil: perfil de negocio muy tradicional."
Nonna Dora,España,,"C/ Gran de Sant Andreu, 154, 08030 Barcelona",+34 933 11 58 25,info@nonnadora.es,https://www.nonnadora.es,Restaurante Italiano,,investigated,"Dispone de terraza en calle peatonal y capacidad media (aprox. 50-60 comensales). Sentimiento muy positivo, destacando la calidad de su pasta artesana y el trato familiar. Punto fuerte para tecnología: optimización de reservas por alta demanda; punto débil: perfil tradicional que prioriza el toque humano sobre procesos digitales."
Restaurant La Font del Lleó,España,,"Carrer de la Font del Lleó, 2, 08034 Barcelona",+34 932 03 03 03,info@lafontdelleo.com,https://www.lafontdelleo.com,Restaurante,,investigated,"Tiene una amplia terraza ajardinada y gran capacidad para banquetes y eventos multitudinarios. Sentimiento positivo centrado en su entorno privilegiado, con críticas ocasionales sobre la irregularidad del servicio. Ideal para vender software de gestión de eventos; su estilo tradicional y familiar podría ser una barrera a la digitalización."
Bar El Tapeo,España,,"Carrer de Menorca, 42, 08020 Barcelona",+34 933 14 63 21,,,Bar de Tapas,,investigated,"Tiene terraza exterior; capacidad media-baja (local de barrio pequeño). Reseñas mayoritariamente positivas: destacan tapas caseras, precios económicos y trato familiar. Venta tech: Oportunidad en TPV o comanderos para agilizar la terraza; debilidad por su perfil de gestión muy tradicional."
Kurz & Gut L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",934190808,info@kurzgut.com,https://kurzgut.com,Restaurante,,investigated,Tiene terraza exterior (plaza del centro comercial); capacidad media-alta (~100 personas). Sentimiento mixto por servicio lento en horas punta. Punto fuerte: alto volumen ideal para agilizar pedidos/pagos; punto débil: posible centralización de decisiones por modelo de franquicia.
Eat My Trip,España,,"Carrer del Consell de Cent, 378, 08009 Barcelona",+34 932 20 40 40,hello@eatmytrip.com,https://eatmytrip.com/,Brunch & Bakery,,investigated,"Tiene terraza en calle peatonal y capacidad media (aprox. 50 pax) con alta rotación y colas frecuentes. Sentimiento muy positivo, destacando su brunch creativo y estética visual ""instagrammable"". Oportunidad tecnológica en gestión de colas y reservas por alta demanda; punto débil: son selectivos con herramientas que afecten su cuidada estética de marca."
Bar Restaurante El Rinconcito,España,,"Carrer de Sant Iscle, 33, 08016 Barcelona",+34933405522,,,Bar,,investigated,"Tiene terraza exterior; local pequeño de barrio con capacidad para unos 25-30 comensales. Reseñas positivas centradas en el trato familiar y sus tapas. Oportunidad en digitalización de comandas básica, aunque su perfil tradicional y falta de web dificultan ventas tecnológicas complejas."
Restaurante Sabor Mar,España,,"Carrer de Josep Pla, 11, 08019 Barcelona",+34 934 98 70 81,,,Restaurante,,investigated,"Tiene terraza exterior. Capacidad aproximada de 50 comensales entre salón y mesas exteriores. Reseñas positivas sobre el menú diario, aunque con críticas recurrentes por lentitud en el servicio. Punto fuerte: digitalización de comandas para agilizar rotación; punto débil: gestión tradicional resistente al cambio."
Ceviche 103,España,,"C. de Londres, 103, 08036 Barcelona",+34932098835,info@ceviche103.com,https://www.ceviche103.com,Restaurante Peruano,,investigated,"Tiene terraza exterior. Capacidad media para unos 60-70 comensales con ambiente moderno. Sentimiento muy positivo, destacando la calidad gastronómica y presentación. Punto fuerte para tecnología: herramientas de gestión de reservas y fidelización dado su alto volumen de clientes y perfil digital."
Bar Restaurante O’Retorno,España,,"Gran Via de les Corts Catalanes, 1070, 08020 Barcelona",+34 933 13 43 00,oretorno@contacto.es,,Restaurante Gallego,,investigated,"Tiene terraza exterior; es un local de tamaño medio con aforo aproximado de 40-50 comensales. El sentimiento es muy positivo, destacando su cocina gallega y raciones generosas. Oportunidad en agilizar comandas por alto volumen; debilidad en su perfil tradicional poco habituado a soluciones digitales complejas."
Restaurante Casa Pepe,España,,"Carrer del Doctor Pi i Molist, 35, 08016 Barcelona",933546711,info@casapepe.es,http://www.casapepe.es,Restaurante,,investigated,"Tiene terraza exterior. Capacidad media, local tradicional de barrio muy concurrido. Sentimiento muy positivo, famoso por sus tapas y bravas. Punto fuerte: alta rotación y clientela fiel; Punto débil: gestión muy tradicional con posible resistencia a digitalizar procesos consolidados."
L'Arrosseria de l'Equador,España,,"Carrer de l'Equador, 39, 08029 Barcelona",934103102,info@arrosseriadelequador.com,https://arrosseriadelequador.com,Arrocería,,investigated,"Dispone de terraza pequeña en acera y un aforo interior aproximado de 50-60 comensales. Sentimiento muy positivo (4.5/5), destacando la excelente calidad de sus arroces y el trato familiar. Punto fuerte: Alta ocupación que requiere gestión eficiente de reservas; Punto débil: Estilo de gestión muy tradicional."
Can Paixano (La Xampanyeria),España,,"Carrer de la Reina Cristina, 7, 08003 Barcelona",+34933100839,info@canpaixano.com,https://www.canpaixano.com,Bar,,investigated,"Sin terraza; local pequeño, estrecho y de alta densidad con consumo mayoritariamente de pie. Sentimiento muy positivo por tradición y precio, aunque critican las aglomeraciones. Punto fuerte para sistemas de pago rápido por alto volumen; punto débil por su filosofía tradicional y ausencia de servicio de mesa."
Restaurante El Puma,España,,"Carrer de Varsòvia, 48, 08041 Barcelona",934354226,restauranteelpuma@gmail.com,,Restaurante,,investigated,"Dispone de terraza exterior en un local de tamaño medio con ambiente familiar. Reseñas muy positivas que destacan la calidad de su comida casera y el trato cercano. Gestión tradicional (punto débil para software complejo), pero con potencial para digitalización de carta y reservas al carecer de web propia."
Maragall Tapas,España,,"Carrer del Segle XX, 1, 08041 Barcelona",934363248,,,Bar de Tapas,,investigated,"Tiene terraza exterior; local de tamaño pequeño-medio (aprox. 35 comensales). Reseñas mayoritariamente positivas resaltando su trato familiar y tapeo económico. Perfil ideal para TPV ágil por rotación de tapas, aunque su gestión tradicional puede ser una barrera a la digitalización avanzada."
Bitacora,España,,"Carrer de Balboa, 1, 08003 Barcelona",+34932213716,,,Bar,,investigated,"Tiene terraza exterior muy solicitada; capacidad media (aprox. 50-60 personas) con alta rotación de clientes. El sentimiento de las reseñas es muy positivo, destacando su autenticidad y excelente relación calidad-precio en la Barceloneta. Punto fuerte: necesitan agilizar pedidos por su alto volumen; punto débil: posible resistencia a tecnología que rompa su estética de taberna tradicional."
Restaurante El Forn de l'Avi,España,,"Carrer de Sant Antoni Maria Claret, 258, 08041 Barcelona",934361099,info@elforndelavi.com,http://elforndelavi.com,Restaurante,,investigated,"Tiene terraza exterior y capacidad media para unos 45-50 comensales. El sentimiento es muy positivo, destacando su cocina casera tradicional y buena relación calidad-precio. Punto fuerte para tecnología: su web es muy básica y mejorable; punto débil: perfil de gestión tradicional que podría resistirse a cambios operativos complejos."
Bar Campus Nord UPC,España,,"Carrer de Jordi Girona, 1-3, 08034 Barcelona",+34 934 01 62 00,,,Bar,,investigated,"Tiene una terraza amplia y gran capacidad al ser la cafetería principal del campus. El sentimiento de las reseñas es mixto, destacando su conveniencia pero criticando la lentitud y el servicio masificado. Punto fuerte para tecnología: alta necesidad de sistemas de autopedido o QR para agilizar colas; punto débil: posible gestión mediante concesionaria externa."
Bodega Carol,España,,"Carrer d'Aragó, 613, 08013 Barcelona",+34 932 321 004,,,Bar/Bodega,,investigated,"Tiene terraza exterior; capacidad media-pequeña con ambiente de bodega tradicional y rústica. Sentimiento muy positivo (4.6/5), destacando su autenticidad, trato cercano y tapas clásicas. Punto débil: perfil muy tradicional reacio a cambios; punto fuerte: carece de web y digitalización de procesos."
Opium Barcelona,España,,"Passeig Marítim de la Barceloneta, 34, 08005 Barcelona",+34932259100,info@opiumbarcelona.com,https://opiumbarcelona.com,Restaurante / Club,,investigated,"Tiene una gran terraza frente al mar y capacidad masiva de unas 3.000 personas. Sentimiento de reseñas mixto, valorando el ambiente y ubicación pero criticando precios y tiempos de espera. Punto fuerte tecnológico: optimización de pedidos y pagos en alto volumen; débil: alta probabilidad de sistemas corporativos ya integrados."
Dimanda S.L.,España,,"Carrer de la Bisbal, 37, 08041 Barcelona",933480038,,,Bar,,investigated,Tiene terraza exterior en la acera. Local pequeño de barrio con capacidad para unas 25-30 personas y reseñas muy positivas sobre el trato familiar y desayunos. Oportunidad en TPV y comanderos para agilizar el servicio en terraza; debilidad en nula presencia digital y procesos manuales.
Gallito,España,,"Passeig Marítim de la Barceloneta, 5, 08003 Barcelona",+34933123575,gallito@encompaniadelobos.com,https://encompaniadelobos.com/gallito/,Restaurante,,investigated,Tiene una gran terraza frente al mar con capacidad para ~200 comensales y sentimiento positivo por ambiente pero crítico por lentitud del servicio. Es ideal para vender soluciones de agilidad operativa (pagos y comandas rápidas) ante su alto volumen. Punto débil: pertenece a un grupo gastronómico consolidado que suele centralizar sus decisiones tecnológicas.
Un Posto al Sole,España,,"Carrer de Nicaragua, 113, 08029 Barcelona",934107873,,,Pizzería,,investigated,"Tiene terraza exterior; local acogedor de tamaño mediano (capacidad aprox. 30-40 comensales). Sentimiento muy positivo destacando su cocina italiana auténtica y trato familiar. Oportunidad en herramientas de reserva y fidelización por su alta demanda, aunque su estilo tradicional podría mostrar resistencia al cambio tecnológico."
Can Ramonet,España,,"Carrer de l'Almirall Cervera, 26, 08003 Barcelona",+34932213357,info@canramonet.es,https://www.canramonet.es,Restaurante,,investigated,"Tiene terraza exterior en zona peatonal y gran capacidad distribuida en varios salones históricos. El sentimiento es positivo, destacando su cocina tradicional y solera, aunque con críticas por precios para turistas. Punto fuerte para tecnología: alta rotación y complejidad de salas (ideal para gestión de pedidos); punto débil: perfil de negocio muy tradicional."
Restaurant Hai Tian,España,,"Carrer del Segle XX, 9, 08041 Barcelona",933518302,,,Restaurante Chino,,investigated,"Sin terraza; capacidad media-alta para unos 60-70 comensales. Sentimiento positivo por su relación calidad-precio, aunque con críticas sobre la lentitud del servicio. Punto fuerte: Necesidad de software de comandas para agilizar mesas; punto débil: Gestión familiar de corte tradicional."
Guacho,España,,"Carrer del Segle XX, 2, 08041 Barcelona",934504104,guacho@gmail.com,,Restaurante Argentino,,investigated,"Tiene terraza; local pequeño y acogedor para unos 30 comensales con reseñas muy positivas sobre sus carnes y trato cercano. Ideal para proponer herramientas de gestión de reservas o pedidos por su alta rotación, aunque el presupuesto puede ser ajustado al ser un negocio familiar de barrio."
Restaurante Diagonal Can Sais,España,,"Avinguda Diagonal, 345, 08013 Barcelona",+34 934 577 627,,,Restaurante,,investigated,"Tiene terraza; capacidad media para unos 50-60 comensales. Sentimiento positivo, muy valorado por su menú diario y carnes a la brasa. Punto fuerte venta tech: herramientas para agilizar rotación de mesas y cobros en horas punta; punto débil: gestión de corte tradicional."
Bar Restaurante El Porró,España,,"Carrer de Dante Alighieri, 180, 08032 Barcelona",+34 934291818,,,Restaurante,,investigated,"Tiene terraza exterior. Capacidad aproximada de 40 comensales (local mediano). Sentimiento positivo, destacando su comida casera y menú diario. Punto fuerte para tecnología: agilizar comandas en horas punta del menú; punto débil: perfil de negocio muy tradicional y familiar."
Restaurante Teòric Taverna Gastronòmica,España,,"Carrer de Bailèn, 117, 08013 Barcelona",+34 930 002 552,reserves@teoric.cat,https://teoric.cat,Restaurante,,investigated,Sin terraza; local pequeño con capacidad aproximada para 25-30 comensales. Sentimiento excelente que destaca su cocina de autor y producto local. Punto fuerte para software de reservas por su alta demanda; punto débil para hardware voluminoso por el espacio limitado.
Billy Brunch,España,,"Carrer de Bailèn, 115, 08009 Barcelona",+34 932 50 72 31,info@billybrunch.com,https://www.billybrunch.com/,Cafetería / Brunch,,investigated,"Tiene terraza exterior. Capacidad media (aprox. 45-50 personas). Sentimiento muy positivo (4.5+), con quejas frecuentes por largas colas. Oportunidad tech: Sistemas de gestión de colas y CRM de fidelización para capitalizar su alta rotación y marca consolidada."
Santamasa Pedralbes,España,,"Carrer de Santa Amèlia, 2, 08034 Barcelona",+34 932 04 10 40,info@santamasa.com,https://santamasa.com,Restaurante,,investigated,"Tiene terraza exterior; capacidad media estimada para 70-80 comensales con ambiente moderno. Reseñas mayoritariamente positivas que destacan la calidad del producto, aunque critican lentitud en horas punta. Punto fuerte: gestión profesionalizada de grupo ideal para escalabilidad; punto débil: decisiones posiblemente centralizadas y sistemas ya estandarizados."
Bar Restaurante Centrik,España,,"Carrer de Varsòvia, 50, 08041 Barcelona",934500949,,,Restaurante,,investigated,Tiene terraza exterior y capacidad media-pequeña (aprox. 40 comensales). Sentimiento positivo centrado en la calidad del menú diario y el trato cercano. Punto fuerte para tecnología: optimización de comandas por alto volumen de menús; punto débil: gestión muy tradicional y familiar.
Barraca,España,,"Passeig Marítim de la Barceloneta, 1, 08003 Barcelona",+34932241253,barraca@tribuwoki.com,https://tribuwoki.com/restaurante/barraca-barceloneta/,Restaurante,,investigated,"Tiene terraza frente al mar y gran capacidad repartida en dos plantas. Sentimiento mayoritariamente positivo por sus arroces y vistas, aunque criticado por lentitud y precios de zona turística. Ideal para vender soluciones de agilidad operativa y reservas, aunque pertenece al grupo consolidado Tribu Woki."
Bar Los Amigos,España,,"Carrer de l'Aneto, 12, 08016 Barcelona",934082211,,,Bar,,investigated,"Tiene terraza exterior; local pequeño de barrio con capacidad para unas 25-30 personas. Reseñas muy positivas que destacan el trato familiar, ambiente acogedor y buenas tapas. Oportunidad tecnológica en TPV/comanderas para agilizar el servicio, aunque el perfil es tradicional y poco digitalizado."
Singular,España,,"Carrer de Sardenya, 321, 08013 Barcelona",+34 932 312 633,info@singularrestaurante.com,https://singularrestaurante.com,Restaurante,,investigated,"Tiene terraza exterior y capacidad para unos 50 comensales. Sentimiento muy positivo (4.3/5), destacando calidad y servicio honesto frente a locales turísticos. Oportunidad en sistemas de reserva y agilidad de pedidos por alta afluencia turística, aunque su operativa está consolidada."
La Tagliatella Numancia,España,,"Carrer de Numància, 47, 08029 Barcelona",934103133,info@latagliatella.es,https://www.latagliatella.es,Restaurante Italiano,,investigated,"Tiene terraza exterior; local de gran tamaño con capacidad para más de 120 comensales. Reseñas positivas destacando rapidez y servicio, aunque critican el ruido elevado y la masificación. Punto fuerte: alta rotación ideal para sistemas de pago rápido; punto débil: decisiones de compra centralizadas por ser franquicia."
Bar Tapa Tapa,España,,"Carrer de Dante Alighieri, 140, 08032 Barcelona",+34 934291122,,,Bar de Tapas,,investigated,"Tiene terraza exterior; local pequeño de barrio con capacidad para unas 35-40 personas. Sentimiento positivo, destacan el trato cercano y la calidad de las tapas caseras. Venta tech: Fuerte en fidelización, débil por gestión muy tradicional que requiere soluciones sencillas y de bajo coste."
Pizzería Carlos - Maragall,España,,"Passeig de Maragall, 176, 08041 Barcelona",934088456,info@pizzeriascarlos.es,https://pizzeriascarlos.es,Pizzería,,investigated,"Dispone de terraza y capacidad media (~55 pax); sentimiento positivo por su relación calidad-precio, con críticas puntuales por lentitud en el servicio. Venta tecnológica: Oportunidad en optimización de tiempos y delivery, pero con la dificultad de estar sujetos a sistemas centralizados de franquicia."
Poke House L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",936317762,info@pokehouse.es,https://pokehouse.es,Restaurante,,investigated,"Sin terraza exterior (local en centro comercial), capacidad reducida para unos 30 comensales. Sentimiento positivo centrado en rapidez y frescura, con críticas puntuales por precio/cantidad. Ideal para vender soluciones de agilidad en pedidos y fidelización, aunque la compra suele estar centralizada por la cadena."
Bar El Carmel,España,,"Carrer de Tolosa, 21, 08032 Barcelona",+34 934071477,,,Bar,,investigated,Dispone de terraza pequeña; local de barrio con capacidad limitada (aprox. 25 pax). Sentimiento positivo enfocado en el trato familiar y la calidad-precio. Punto fuerte: mejora en agilidad de cobros y comandas; Punto débil: gestión muy tradicional con baja madurez digital.
En Bandeja S.C.C.L.,España,,"Carrer del Guinardó, 28, 08041 Barcelona",934352507,info@enbandeja.com,http://enbandeja.com,Catering/Restaurante,,investigated,No tiene terraza; local de tamaño medio centrado en catering y menús diarios. Reseñas muy positivas que destacan su labor social y comida casera de calidad. Punto fuerte: necesidad de gestión logística para catering; Punto débil: presupuestos ajustados por ser cooperativa de inserción social.
Nonna Dora,España,,"C/ Gran de Sant Andreu, 154, 08030 Barcelona",+34 933 11 58 25,info@nonnadora.es,https://www.nonnadora.es,Restaurante Italiano,,investigated,Tiene terraza en calle peatonal; capacidad pequeña-media (aprox. 30-40 comensales). Sentimiento muy positivo destacando la calidad artesanal y el trato. Punto fuerte: ya usan reservas online y redes; debilidad: espacio físico limitado para hardware voluminoso.
Pure Cuisine,España,,"Av. Diagonal, 3, 08019 Barcelona",+34 933 56 16 71,info@purecuisine.es,https://purecuisine.es,Restaurante,,investigated,"Dispone de terraza en el centro comercial; capacidad media con alta rotación de clientes. Sentimiento general positivo, valorando la rapidez y opción saludable, con quejas puntuales sobre raciones y precio. Punto fuerte para tecnología: optimización de pedidos y fidelización en modelo fast-casual; punto débil: posible gestión centralizada por ser franquicia."
Hancho Barcelona,España,,"Carrer de Roger de Llúria, 42, 08009 Barcelona",+34 933 02 70 00,info@hanchobarcelona.com,https://hanchobarcelona.com/,Restaurante Coreano,,investigated,"Sin terraza significativa (enfoque interior por extractores). Capacidad para unos 70-80 comensales en un local moderno y amplio. Reseñas excelentes (4.7/5), destacando la calidad premium de la carne coreana y el servicio atento. Punto fuerte tecnológico: Alta rotación ideal para software de reservas y fidelización; punto débil: operativa de mesa muy específica por las parrillas integradas."
Bar Restaurante El Glop,España,,"Carrer de Binéfar, 20, 08020 Barcelona",+34 933 14 36 36,elglop@binefar.es,,Bar Restaurante,,investigated,"Tiene terraza exterior. Capacidad media (aprox. 45 personas), ambiente de barrio tradicional. Reseñas mayoritariamente positivas destacando el menú diario y trato cercano. Punto fuerte para tecnología: optimizar rotación y comandas en horas punta; punto débil: posible resistencia cultural al cambio digital."
El Racó de l'Avi Melcior,España,,"Calle Santa Coloma, 2, 08030 Barcelona",+34 933 46 53 05,melcior@racoavimelcior.com,,Restaurante de Banquetes,,investigated,"Tiene terraza exterior; capacidad media-baja (aprox. 40 personas). Sentimiento positivo, destacando el trato familiar y sus desayunos tradicionales. Venta tecnológica: oportunidad por nula presencia digital, pero debilidad por ser un negocio muy tradicional reacio a cambios."
Cantina Mariachi Diagonal Mar,España,,"Av. Diagonal, 3, 08019 Barcelona",+34 933 56 25 75,info@cantinamariachi.es,https://cantinamariachi.es,Restaurante,,investigated,"Tiene terraza (zona exterior del CC Diagonal Mar). Capacidad media-alta típica de franquicia (~100 pax). Sentimiento general negativo/mixto, con quejas recurrentes sobre lentitud en el servicio y calidad mejorable. Venta tecnológica: Punto fuerte para ofrecer sistemas de autogestión de pedidos/pagos que agilicen el servicio y reduzcan la fricción por falta de personal."
Restaurante Sifo,España,,"C. de Còrsega, 211, 08036 Barcelona",+34934143434,info@sifo.es,https://www.sifo.es,Restaurante Argentino,,investigated,"No tiene terraza. Local pequeño y acogedor con capacidad para unos 25-30 comensales. Sentimiento muy positivo, destacando la alta calidad de su cocina creativa y el trato cercano. Punto fuerte: digitalización de reservas por su alta demanda; punto débil: poco espacio físico para hardware voluminoso."
Restaurante El Racó,España,,"Carrer de Piferrer, 90, 08016 Barcelona",933531144,elracopiferrer@outlook.com,,Restaurante,,investigated,Tiene terraza exterior. Capacidad media (aprox. 40-50 comensales). Sentimiento positivo centrado en la calidad del menú casero y trato cercano. Punto fuerte para tecnología: optimización de comandas por alta rotación en comidas; punto débil: digitalización nula y perfil de gestión muy tradicional.
Servicios Restauracion Epec,España,,"Avenida Icaria, 134, 08005 Barcelona",+34932217193,,,Bar / Cafetería,,investigated,"Tiene terraza exterior; capacidad media de unas 40-50 personas. Sentimiento de reseñas neutro o positivo, destacando la rapidez del servicio. Punto débil para vender tecnología: alta probabilidad de gestión centralizada (franquicia Rodilla), dificultando decisiones locales."
Goiko Maragall,España,,"Passeig de Maragall, 148, 08041 Barcelona",930217646,info@goiko.com,https://www.goiko.com,Hamburgesería,,investigated,"Dispone de pequeña terraza y aforo medio (aprox. 70 pax); reseñas positivas en producto pero con quejas por tiempos de espera. Oportunidad tecnológica en optimización de flujos de cocina y delivery dado su alto volumen de pedidos diarios. Punto débil para la venta: al ser una cadena nacional, las decisiones de software suelen estar centralizadas en su matriz."
Toscana Sagrada Familia,España,,"Carrer de Marina, 240, 08013 Barcelona",+34 932 462 855,reservas@toscanasf.com,https://toscanasagradafamilia.com,Restaurante,,investigated,"Tiene terraza exterior; capacidad media-alta (aprox. 70 comensales) con gran afluencia turística. Sentimiento general positivo (4.1★), aunque con críticas recurrentes por lentitud en el servicio y gestión de esperas. Oportunidad: necesitan agilizar comandas y pagos en movilidad; debilidad: alta rotación de personal y enfoque en cliente efímero."
Restaurant 080,España,,"Carrer de Roger de Llúria, 7, 08009 Barcelona",+34 934 58 64 61,info@restaurant080.com,https://restaurant080.com/,Cocina Mediterránea,,investigated,"Dispone de terraza exterior y capacidad media para unos 60 comensales. Sentimiento muy positivo (4.5/5), destacando la calidad del menú diario y el servicio profesional. Digitalización alta (reservas web), idóneo para venderles herramientas de fidelización (CRM) o integración de sistemas de gestión."
Udon L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",934107142,info@udon.es,https://www.udon.es,Restaurante Japonés,,investigated,"Sin terraza (interior de CC), capacidad media (~80 comensales). Reseñas positivas en sabor/rapidez, negativas por ruido y esperas. Potencial en autopedido/gestión de colas por su alta rotación, pero con decisión de compra centralizada por ser franquicia."
Ginos Heron City,España,,"Avinguda de Rio de Janeiro, 42, 08016 Barcelona",932761066,atencioncliente@ginos.es,https://www.ginos.es,Restaurante,,investigated,"Dispone de terraza y gran capacidad (aprox. 100 comensales). Sentimiento general positivo destacando rapidez y servicio, aunque con críticas por ruido ambiental. Punto fuerte para tecnología: optimización de alta rotación; debilidad: decisión de compra centralizada a través del Grupo Alsea."
The Green Spot,España,,"Carrer de la Reina Cristina, 12, 08003 Barcelona",+34938025565,greenspot@encompaniadelobos.com,https://encompaniadelobos.com/the-green-spot/,Restaurante,,investigated,"No tiene terraza. Local amplio con capacidad para unos 100-120 comensales. Sentimiento de reseñas muy positivo, destacando su diseño y gastronomía vegetal. Oportunidad tecnológica en CRM/fidelización para perfil premium, con el reto de ser una decisión de compra centralizada por su grupo empresarial."
Casa Amàlia,España,,"Passatge del Mercat, 14, 08009 Barcelona",+34 934 58 94 58,hola@casaamalia.com,https://www.casaamalia.com/,Restaurante de Mercado,,investigated,"Tiene terraza en un pasaje tranquilo y capacidad para unos 90 comensales repartidos en varios niveles y exterior. Las reseñas son excelentes (4.6/5), destacando su cocina de mercado y la calidad del producto. Es ideal para vender sistemas de gestión de múltiples zonas, aunque su perfil tradicional exige tecnología discreta que no rompa la experiencia."
Dry Martini,España,,"C. d'Aribau, 162, 08036 Barcelona",+34932175704,drymartini@drymartini.com,https://www.drymartini.com,Cocktail Bar,,investigated,"No dispone de terraza; tiene una capacidad aproximada de 100 personas incluyendo su restaurante Speakeasy. El sentimiento es excelente, destacando como un referente mundial de elegancia y coctelería clásica. Ideal para vender CRM de lujo o fidelización, pero difícil para tecnología que rompa su estética tradicional y sobria."
Bar Granja l'Empordà,España,,"C/ Gran de Sant Andreu, 235, 08030 Barcelona",+34 933 45 61 22,,,Bar Cafetería,,investigated,"Tiene terraza en calle peatonal y capacidad media (local estrecho más mesas exteriores). Sentimiento muy positivo, destacado como bar de barrio auténtico y de trato cercano. Punto fuerte: software de comandas para gestionar la alta rotación; punto débil: gestión tradicional familiar poco digitalizada."
Restaurante O'Chispa,España,,"Carrer de Varsòvia, 72, 08041 Barcelona",934330105,ochispa@hotmail.com,,Restaurante,,investigated,"Tiene terraza exterior. Capacidad pequeña-media (aprox. 40 pax). Sentimiento muy positivo, destacando la cocina gallega y el trato familiar. Punto fuerte para tecnología: Digitalización de procesos y visibilidad online (carece de web); punto débil: Gestión de corte muy tradicional y local."
L'Aliança del Poblenou,España,,"Rambla del Poblenou, 42, 08005 Barcelona",+34932252814,,,Restaurante / Bar Histórico,,investigated,"Tiene terraza amplia en plena Rambla y alta capacidad (local histórico espacioso). Sentimiento general positivo por su ambiente auténtico, con críticas por servicio lento. Punto fuerte venta: Comanderas móviles para agilizar terraza masiva. Punto débil: Perfil de gestión tradicional."
Bar Restaurante Centrik,España,,"Carrer de Varsòvia, 50, 08041 Barcelona",934500949,,,Restaurante,,investigated,"Tiene terraza exterior y una capacidad media aproximada de 35-40 comensales. El sentimiento de las reseñas es muy positivo, destacando su trato familiar, menú diario y tapas. Su nula presencia digital (sin web) y gestión tradicional lo hacen ideal para ofrecer soluciones de visibilidad online o digitalización de comandas."
Bar Restaurante Horta,España,,"Carrer del Tajo, 40, 08032 Barcelona",+34 934274040,,,Restaurante,,investigated,Tiene terraza exterior. Capacidad media-baja (aprox. 30-40 comensales). Reseñas mayoritariamente positivas que destacan el trato familiar y las tapas. Punto fuerte: ubicación concurrida junto al metro; punto débil: perfil de negocio muy tradicional que puede mostrar resistencia a digitalización compleja.
Bar Versalles,España,,"C/ Gran de Sant Andreu, 255, 08030 Barcelona",+34 933 46 82 25,info@barversalles.com,https://www.barversalles.com,Bar Restaurante Histórico,,investigated,"Tiene terraza en calle peatonal y gran capacidad distribuida en varios niveles. Sentimiento general muy positivo, valorado como local emblemático y concurrido. Punto fuerte: necesidad de agilizar comandas por alto volumen; punto débil: perfil tradicional muy arraigado."
Llaollao Diagonal Mar,España,,"Av. Diagonal, 3, 08019 Barcelona",+34 933 56 00 00,info@llaollao.es,https://www.llaollaoweb.com,Heladería/Bar,,investigated,"No dispone de terraza propia (formato stand en centro comercial). Local muy pequeño con alta rotación de clientes. Sentimiento positivo por producto, pero negativo en tiempos de espera y colas. Punto fuerte tech: ideal para kioscos de autopedido que agilicen el flujo; punto débil: dependencia de la central de franquicia."
Betlem Miscel·lània Gastronòmica,España,,"Carrer de Girona, 70, 08009 Barcelona",+34 931 06 50 82,betlem@betlem.es,https://betlem.es/,Gastrobar,,investigated,"Tiene terraza esquinera; capacidad media con alta rotación de comensales. Sentimiento muy positivo, resaltando la gran calidad gastronómica y de bodega. Ideal para herramientas de agilización de servicio y pagos por su volumen, aunque prima el trato tradicional y cercano."
Bar El Cafenet,España,,"Carrer de l'Escultor Ordóñez, 10, 08016 Barcelona",+34933541100,,,Bar Cafetería,,investigated,Terraza exterior pequeña; local de barrio de capacidad reducida. Reseñas mayoritariamente positivas por trato familiar y tapas. Punto fuerte: oportunidad en digitalización de procesos manuales; débil: presupuesto limitado y perfil muy tradicional.
